row_id,vehicle_id,latitude,longitude,workerid,getdistance
236,1249503,32.08133,34.79762,1,22.318670218727416
237,1249503,32.08128,34.7976,1,5.8703799593497985
238,1249503,32.08123,34.79757,1,6.236954111754274
239,1201369,32.10555,34.93628,1,12.375656145566024
240,1201369,32.1056,34.9363,1,5.870219326472918
241,508395,32.81752,35.1112,1,138.8169643732942
242,1249503,32.08022,34.79702,1,123.68506691727056
243,1249503,32.07945,34.79646,1,100.57109879494763
244,508395,32.81809,35.11221,1,113.68914196747922
245,1201369,32.11222,34.93777,1,749.0180791675504
246,1201369,32.11263,34.93809,1,54.65135483972143
247,508395,32.81903,35.11388,1,187.8266515598944
248,1249503,32.07801,34.795,1,211.0941782562816
249,1201369,32.11427,34.93985,1,246.4374399929445
250,1249503,32.07739,34.79425,1,98.72305009017242
251,508395,32.81907,35.11599,1,197.2227167722786
252,508395,32.81581,35.12027,1,539.7872652917955
253,1249503,32.07422,34.79297,1,372.5488749855552
254,1201369,32.11443,34.94033,1,48.58170654875613
255,1201369,32.11451,34.94042,1,12.28733825488305
256,508395,32.81507,35.12463,1,415.66991627575817
257,508395,32.81395,35.1279,1,329.9891094782741
258,508395,32.81261,35.12947,1,209.11329297019412
259,508395,32.80997,35.1318,1,365.4987053350214
260,508395,32.80891,35.13297,1,160.77547964166718
261,508395,32.80906,35.13406,1,103.22489220450029
262,508395,32.80925,35.13502,1,92.17277441905755
263,508395,32.80952,35.13752,1,235.5632166398635
264,508395,32.80988,35.14,1,235.20369821322763
265,508395,32.8117,35.14305,1,349.5751058126845
266,508395,32.81226,35.14222,1,99.46898214686563
